Location,Date,Avg Temperature,Avg Humidity,Min Temperature,Max Temperature,Number of Insects,New Captures (per Event),Cleaning_Flag,temp_change
cicalino1,2024-08-10,29.72875,50.943333333333335,19.9,40.1,0.0,0,0,20.200000000000003
cicalino1,2024-08-11,29.824166666666667,56.43875,20.5,40.0,0.0,0,1,19.5
cicalino1,2024-08-12,29.86708333333333,52.525,21.0,39.2,0.0,0,1,18.200000000000003
cicalino1,2024-08-13,28.991249999999997,49.2125,19.9,39.3,0.0,0,0,19.4
cicalino1,2024-08-14,28.039166666666663,63.81041666666667,19.5,37.3,0.0,0,0,17.799999999999997
cicalino1,2024-08-15,25.798333333333332,66.21666666666667,19.0,35.8,0.0,0,1,16.799999999999997
cicalino1,2024-08-16,27.37291666666667,61.594166666666666,19.7,37.0,0.0,0,0,17.3
cicalino1,2024-08-17,27.194166666666664,64.30499999999999,19.3,35.1,0.0,0,0,15.8
cicalino1,2024-08-18,23.343333333333334,83.12708333333333,19.2,33.8,0.0,0,1,14.599999999999998
cicalino1,2024-08-19,23.02208333333333,76.18333333333334,18.1,31.9,0.0,0,0,13.799999999999997
cicalino1,2024-08-20,24.29625,72.7275,16.8,33.2,0.0,0,0,16.400000000000002
cicalino1,2024-08-21,26.302916666666665,69.61874999999999,19.4,34.0,0.0,0,1,14.600000000000001
cicalino1,2024-08-22,26.743750000000002,64.07125,18.4,35.4,0.0,0,0,17.0
cicalino1,2024-08-23,19.611428571428572,87.61571428571428,18.3,21.3,0.0,0,0,3.0
cicalino2,2024-07-11,26.166521739130438,56.06173913043479,14.4,34.6,0.0,0,1,20.200000000000003
cicalino2,2024-07-12,26.557916666666667,57.27375,15.6,36.5,0.0,0,0,20.9
cicalino2,2024-07-13,25.907916666666665,67.64208333333333,17.5,35.6,0.0,0,0,18.1
cicalino2,2024-07-14,26.427083333333332,67.36749999999999,16.2,36.9,0.0,0,0,20.7
cicalino2,2024-07-15,27.31125,56.81166666666667,15.7,38.0,0.0,0,0,22.3
cicalino2,2024-07-16,26.4675,56.23916666666667,15.2,35.8,0.0,0,1,20.599999999999998
cicalino2,2024-07-17,27.429583333333337,55.755833333333335,16.2,37.3,0.0,0,0,21.099999999999998
cicalino2,2024-07-18,26.8575,53.35999999999999,14.5,37.0,0.0,0,1,22.5
cicalino2,2024-07-19,27.887083333333333,54.50333333333333,16.9,38.3,1.0,1,0,21.4
cicalino2,2024-07-20,26.8175,63.388749999999995,16.9,34.5,2.0,1,1,17.6
cicalino2,2024-07-21,27.058333333333334,65.7675,17.3,37.1,2.0,0,0,19.8
cicalino2,2024-07-22,25.66541666666667,69.78041666666667,19.9,35.0,2.0,0,0,15.100000000000001
cicalino2,2024-07-23,27.094166666666666,64.54458333333334,18.0,35.9,2.0,0,1,17.9
cicalino2,2024-07-24,28.080416666666665,61.77,18.6,36.2,1.0,1,1,17.6
cicalino2,2024-07-25,28.672916666666666,58.13458333333333,19.8,37.3,1.0,1,0,17.499999999999996
cicalino2,2024-07-26,27.898750000000003,65.34041666666667,18.1,37.8,1.0,0,0,19.699999999999996
cicalino2,2024-07-27,27.556250000000002,63.17291666666667,17.3,38.1,1.0,0,0,20.8
cicalino2,2024-07-28,27.363333333333333,57.79541666666666,16.2,38.0,0.0,0,1,21.8
cicalino2,2024-07-29,28.668333333333333,52.10166666666667,16.9,41.0,0.0,0,0,24.1
cicalino2,2024-07-30,30.486666666666668,45.98291666666666,20.0,40.0,0.0,0,0,20.0
cicalino2,2024-07-31,29.879583333333333,51.842083333333335,19.0,39.8,0.0,0,0,20.799999999999997
cicalino2,2024-08-01,28.26125,53.047083333333326,17.7,38.9,0.0,0,0,21.2
cicalino2,2024-08-02,28.03,67.69958333333334,19.1,37.8,0.0,0,1,18.699999999999996
cicalino2,2024-08-03,27.531666666666666,72.16208333333334,20.9,38.7,0.0,0,1,17.800000000000004
cicalino2,2024-08-04,27.524583333333336,63.774166666666666,18.4,37.4,0.0,0,0,19.0
cicalino2,2024-08-05,28.545,56.64958333333333,18.5,37.9,0.0,0,0,19.4
cicalino2,2024-08-06,27.488333333333333,63.9725,18.1,37.7,0.0,0,0,19.6
cicalino2,2024-08-07,27.0775,63.23,17.5,35.9,0.0,0,1,18.4
cicalino2,2024-08-08,26.996666666666666,62.45458333333334,16.4,36.0,0.0,0,0,19.6
cicalino2,2024-08-09,28.22083333333333,62.897083333333335,18.8,37.8,0.0,0,1,18.999999999999996
cicalino2,2024-08-10,30.0825,50.50375,19.4,40.2,0.0,0,0,20.800000000000004
cicalino2,2024-08-11,30.19333333333333,56.13791666666666,20.0,40.5,0.0,0,1,20.5
cicalino2,2024-08-12,30.22208333333333,52.59791666666666,20.9,40.4,0.0,0,1,19.5
cicalino2,2024-08-13,29.372083333333332,49.737500000000004,19.4,39.1,0.0,0,0,19.700000000000003
cicalino2,2024-08-14,28.302916666666665,62.72125,19.0,38.0,0.0,0,0,19.0
cicalino2,2024-08-15,26.493750000000002,63.1325,18.8,38.0,0.0,0,1,19.2
cicalino2,2024-08-16,27.765833333333333,60.786249999999995,19.6,38.7,0.0,0,0,19.1
cicalino2,2024-08-17,27.690833333333334,62.14791666666667,19.1,36.4,0.0,0,0,17.299999999999997
cicalino2,2024-08-18,23.772916666666664,80.09791666666666,19.6,33.6,0.0,0,1,14.0
cicalino2,2024-08-19,23.272499999999997,74.24708333333334,18.2,32.9,0.0,0,0,14.7
cicalino2,2024-08-20,24.450833333333335,71.57458333333334,16.8,33.2,0.0,0,0,16.400000000000002
cicalino2,2024-08-21,26.118333333333336,69.18458333333334,19.0,33.0,0.0,0,1,14.0
cicalino2,2024-08-22,27.017916666666668,63.955000000000005,18.7,36.5,0.0,0,0,17.8
cicalino2,2024-08-23,19.740000000000002,89.87,19.1,20.6,1.0,1,0,1.5
Imola1,2024-07-30,29.679166666666664,42.93416666666667,22.1,35.5,0.0,0,0,13.399999999999999
Imola1,2024-07-31,29.017083333333332,51.39208333333334,20.2,38.7,0.0,0,0,18.500000000000004
Imola1,2024-08-01,31.076666666666668,44.14833333333333,22.5,39.7,0.0,0,0,17.200000000000003
Imola1,2024-08-02,27.97375,65.75875,20.1,37.3,0.0,0,1,17.199999999999996
Imola1,2024-08-03,25.766666666666666,71.85208333333334,20.4,32.1,0.0,0,1,11.700000000000003
Imola1,2024-08-04,27.273478260869563,59.91782608695652,19.0,35.7,0.0,0,0,16.700000000000003
Imola1,2024-08-06,28.377916666666668,59.11625,21.0,37.2,0.0,0,0,16.200000000000003
Imola1,2024-08-07,27.293333333333333,64.45416666666667,19.1,38.1,0.0,0,1,19.0
Imola1,2024-08-08,26.318749999999998,65.97375,17.6,35.1,0.0,0,0,17.5
Imola1,2024-08-09,28.263333333333335,60.56791666666667,20.5,37.3,0.0,0,1,16.799999999999997
Imola1,2024-08-10,29.51,55.919999999999995,21.9,37.7,0.0,0,0,15.800000000000004
Imola1,2024-08-11,30.024583333333336,53.05458333333333,21.8,38.8,0.0,0,1,16.999999999999996
Imola1,2024-08-12,30.414166666666663,51.13333333333333,22.3,40.1,0.0,0,1,17.8
Imola1,2024-08-13,29.96666666666667,52.40375,22.7,39.7,0.0,0,0,17.000000000000004
Imola1,2024-08-14,29.14833333333333,54.00625,22.6,39.6,0.0,0,0,17.0
Imola1,2024-08-15,26.937916666666666,63.03541666666666,20.5,34.2,0.0,0,1,13.700000000000003
Imola1,2024-08-16,28.337500000000002,61.3375,21.9,37.0,0.0,0,0,15.100000000000001
Imola1,2024-08-17,26.82625,65.85708333333334,20.5,36.6,1.0,1,0,16.1
Imola1,2024-08-18,25.524583333333336,66.25750000000001,21.7,33.3,1.0,0,1,11.599999999999998
Imola1,2024-08-19,21.435833333333335,84.75541666666668,18.3,25.0,0.0,0,0,6.699999999999999
Imola1,2024-08-20,22.89125,89.00124999999998,20.4,28.4,4.0,1,0,8.0
Imola1,2024-08-21,26.659166666666668,68.14041666666667,20.9,33.7,2.0,0,1,12.800000000000004
Imola1,2024-08-22,25.987916666666667,71.87041666666667,19.6,33.6,4.0,1,0,14.0
Imola1,2024-08-23,23.26,88.6,23.1,23.4,5.0,1,0,0.29999999999999716
Imola2,2024-07-31,28.83458333333333,52.446666666666665,19.7,38.8,0.0,0,0,19.099999999999998
Imola2,2024-08-01,31.059583333333332,43.4275,22.5,40.0,0.0,0,0,17.5
Imola2,2024-08-02,27.927916666666665,65.88083333333334,20.2,37.3,0.0,0,1,17.099999999999998
Imola2,2024-08-03,25.843333333333334,72.73541666666667,20.7,31.9,0.0,0,1,11.2
Imola2,2024-08-04,26.7625,63.102916666666665,18.5,35.8,0.0,0,0,17.299999999999997
Imola2,2024-08-05,27.45875,55.41,18.3,37.2,0.0,0,0,18.900000000000002
Imola2,2024-08-06,28.099999999999998,60.93958333333333,20.0,37.3,0.0,0,0,17.299999999999997
Imola2,2024-08-07,27.246666666666666,65.06583333333333,19.2,37.7,0.0,0,1,18.500000000000004
Imola2,2024-08-08,26.313333333333333,66.43875,17.7,35.0,0.0,0,0,17.3
Imola2,2024-08-09,28.14708333333333,62.01500000000001,19.9,37.6,0.0,0,1,17.700000000000003
Imola2,2024-08-10,29.410416666666666,56.90625,21.6,38.2,0.0,0,0,16.6
Imola2,2024-08-11,30.10375,53.17958333333333,22.7,38.9,0.0,0,1,16.2
Imola2,2024-08-12,30.597916666666666,50.34708333333333,22.6,40.2,0.0,0,1,17.6
Imola2,2024-08-13,30.082083333333333,52.11875,22.2,40.1,0.0,0,0,17.900000000000002
Imola2,2024-08-14,29.105,54.668749999999996,22.3,40.2,0.0,0,0,17.900000000000002
Imola2,2024-08-15,26.87291666666667,64.11458333333333,20.2,34.5,0.0,0,1,14.3
Imola2,2024-08-16,28.220416666666665,62.22666666666667,21.4,36.8,0.0,0,0,15.399999999999999
Imola2,2024-08-17,26.63291666666667,67.24166666666666,20.4,37.3,0.0,0,0,16.9
Imola2,2024-08-18,25.462083333333336,67.56166666666667,21.2,33.5,1.0,1,1,12.3
Imola2,2024-08-19,21.619583333333335,84.25791666666667,18.3,25.2,0.0,0,0,6.899999999999999
Imola2,2024-08-20,22.817916666666665,89.06791666666668,20.4,28.3,0.0,0,0,7.900000000000002
Imola2,2024-08-21,26.90041666666667,67.15625,21.2,34.4,0.0,0,1,13.2
Imola2,2024-08-22,25.714166666666667,73.51208333333334,18.9,33.9,0.0,0,0,15.0
Imola2,2024-08-23,22.59,92.1,22.5,22.7,0.0,0,0,0.1999999999999993
Imola3,2024-08-17,26.89,64.88125000000001,20.5,36.4,0.0,0,0,15.899999999999999
Imola3,2024-08-18,25.890416666666667,64.84416666666667,21.6,33.7,0.0,0,1,12.100000000000001
Imola3,2024-08-19,21.65041666666667,83.20541666666666,18.3,25.7,0.0,0,0,7.399999999999999
Imola3,2024-08-20,23.00375,87.47208333333333,20.5,28.6,1.0,1,0,8.100000000000001
Imola3,2024-08-21,26.95375,66.22041666666667,21.1,34.0,1.0,0,1,12.899999999999999
Imola3,2024-08-22,25.773333333333337,72.58916666666667,19.1,33.5,2.0,1,0,14.399999999999999
Imola3,2024-08-23,22.74,90.89,22.7,22.8,3.0,1,0,0.10000000000000142
